diasemana;dia;hora;periodo;Avail;Reject;Moto;Van;Carro;LicGrey;LicRed;ThermalBag
Friday;2020-02-14 00:00:00.000;11;0;234;126;206;7;21;116;118;198
Friday;2020-02-14 00:00:00.000;11;30;255;137;228;5;22;130;125;220
Friday;2020-02-14 00:00:00.000;12;0;232;125;207;5;20;119;113;199
Friday;2020-02-14 00:00:00.000;12;30;230;124;201;6;23;119;111;191
Friday;2020-02-14 00:00:00.000;13;0;222;120;198;7;17;118;104;188
Friday;2020-02-14 00:00:00.000;13;30;227;122;200;5;22;116;111;190
Friday;2020-02-14 00:00:00.000;14;0;248;134;222;5;21;124;124;210
Friday;2020-02-14 00:00:00.000;14;30;248;134;223;5;20;120;128;212
Friday;2020-02-14 00:00:00.000;15;0;219;118;192;5;22;110;109;184
Friday;2020-02-14 00:00:00.000;15;30;216;116;193;4;19;104;112;185
Friday;2020-02-14 00:00:00.000;16;0;223;120;198;4;21;105;118;187
Friday;2020-02-14 00:00:00.000;16;30;203;109;182;3;18;100;103;173
Friday;2020-02-14 00:00:00.000;17;0;191;103;170;4;17;90;101;160
Friday;2020-02-14 00:00:00.000;17;30;186;100;166;4;16;84;102;159
Friday;2020-02-14 00:00:00.000;18;0;193;104;171;3;19;80;113;165
Friday;2020-02-14 00:00:00.000;18;30;160;86;145;1;14;69;91;140
Friday;2020-02-14 00:00:00.000;19;0;155;84;131;2;22;68;87;130
Friday;2020-02-14 00:00:00.000;19;30;146;79;125;2;19;70;76;121
Friday;2020-02-14 00:00:00.000;20;0;146;79;124;3;19;72;74;119
Friday;2020-02-14 00:00:00.000;20;30;128;69;108;3;17;64;64;105
Friday;2020-02-14 00:00:00.000;21;0;55;30;46;0;9;29;26;46
Friday;2020-02-14 00:00:00.000;21;30;101;55;84;3;14;46;55;80
Friday;2020-02-14 00:00:00.000;22;0;108;58;91;3;14;50;58;88
Friday;2020-02-14 00:00:00.000;22;30;94;51;75;1;18;42;52;72
Friday;2020-02-14 00:00:00.000;23;0;95;51;76;2;17;45;50;73
Friday;2020-02-14 00:00:00.000;23;30;87;47;69;2;16;41;46;65
Saturday;2020-02-15 00:00:00.000;0;0;73;40;57;2;14;33;40;53
Saturday;2020-02-15 00:00:00.000;0;30;71;39;57;1;13;32;39;52
Saturday;2020-02-15 00:00:00.000;1;0;62;34;48;0;14;29;33;44
Saturday;2020-02-15 00:00:00.000;1;30;55;30;43;1;11;27;28;39
Saturday;2020-02-15 00:00:00.000;2;0;50;27;40;0;10;23;27;36
Saturday;2020-02-15 00:00:00.000;2;30;48;26;36;0;12;20;28;34
Saturday;2020-02-15 00:00:00.000;3;0;53;29;39;0;14;21;32;37
Saturday;2020-02-15 00:00:00.000;3;30;47;26;34;0;13;20;27;33
Saturday;2020-02-15 00:00:00.000;4;0;51;28;39;0;12;23;28;36
Saturday;2020-02-15 00:00:00.000;4;30;55;30;40;0;15;23;32;36
Saturday;2020-02-15 00:00:00.000;5;0;54;29;41;0;13;25;29;37
Saturday;2020-02-15 00:00:00.000;5;30;59;32;46;1;12;30;29;42
Saturday;2020-02-15 00:00:00.000;6;0;66;36;51;1;14;33;33;47
Saturday;2020-02-15 00:00:00.000;6;30;72;39;54;2;16;33;39;51
Saturday;2020-02-15 00:00:00.000;7;0;82;44;69;1;12;41;41;66
Saturday;2020-02-15 00:00:00.000;7;30;89;48;74;1;14;44;45;70
Saturday;2020-02-15 00:00:00.000;8;0;113;61;94;3;16;52;61;88
Saturday;2020-02-15 00:00:00.000;8;30;118;64;99;2;17;57;61;95
Saturday;2020-02-15 00:00:00.000;9;0;119;64;103;3;13;55;64;101
Saturday;2020-02-15 00:00:00.000;9;30;131;71;110;3;18;61;70;108
Saturday;2020-02-15 00:00:00.000;10;0;152;82;133;2;17;74;78;131
Saturday;2020-02-15 00:00:00.000;10;30;166;90;148;2;16;85;81;145
Saturday;2020-02-15 00:00:00.000;11;0;160;86;141;2;17;80;80;138
Saturday;2020-02-15 00:00:00.000;11;30;155;84;133;2;20;72;83;130
Saturday;2020-02-15 00:00:00.000;12;0;139;75;120;1;18;69;70;118
Saturday;2020-02-15 00:00:00.000;12;30;135;73;117;1;17;66;69;115
Saturday;2020-02-15 00:00:00.000;13;0;142;77;122;2;18;59;83;118
Saturday;2020-02-15 00:00:00.000;13;30;140;76;120;2;18;60;80;115
Saturday;2020-02-15 00:00:00.000;14;0;133;72;116;2;15;57;76;111
Saturday;2020-02-15 00:00:00.000;14;30;118;64;101;2;15;49;69;97
Saturday;2020-02-15 00:00:00.000;15;0;130;70;112;2;16;51;79;108
Saturday;2020-02-15 00:00:00.000;15;30;111;60;96;3;12;44;67;92
Saturday;2020-02-15 00:00:00.000;16;0;123;66;107;1;15;56;67;106
Saturday;2020-02-15 00:00:00.000;16;30;131;71;113;1;17;57;74;110
Saturday;2020-02-15 00:00:00.000;17;0;123;66;107;2;14;50;73;105
Saturday;2020-02-15 00:00:00.000;17;30;112;61;97;1;14;46;66;96
Saturday;2020-02-15 00:00:00.000;18;0;109;59;93;1;15;47;62;92
Saturday;2020-02-15 00:00:00.000;18;30;118;64;102;1;15;55;63;100
Saturday;2020-02-15 00:00:00.000;19;0;120;65;104;0;16;60;60;102
Saturday;2020-02-15 00:00:00.000;19;30;109;59;100;0;9;55;54;96
Saturday;2020-02-15 00:00:00.000;20;0;103;56;95;0;8;56;47;93
Saturday;2020-02-15 00:00:00.000;20;30;98;53;88;0;10;49;49;86
Saturday;2020-02-15 00:00:00.000;21;0;103;56;90;0;13;49;54;88
Saturday;2020-02-15 00:00:00.000;21;30;87;47;73;1;13;40;47;72
Saturday;2020-02-15 00:00:00.000;22;0;83;45;70;1;12;35;48;69
Saturday;2020-02-15 00:00:00.000;22;30;80;43;66;1;13;35;45;65
Saturday;2020-02-15 00:00:00.000;23;0;76;41;64;1;11;36;40;62
Saturday;2020-02-15 00:00:00.000;23;30;78;42;67;1;10;38;40;65
Sunday;2020-02-16 00:00:00.000;0;0;76;41;61;1;14;33;43;59
Sunday;2020-02-16 00:00:00.000;0;30;64;35;49;1;14;23;41;47
Sunday;2020-02-16 00:00:00.000;1;0;56;31;40;1;15;17;39;37
Sunday;2020-02-16 00:00:00.000;1;30;52;28;40;1;11;17;35;37
Sunday;2020-02-16 00:00:00.000;2;0;50;27;36;0;14;15;35;34
Sunday;2020-02-16 00:00:00.000;2;30;44;24;32;0;12;14;30;31
Sunday;2020-02-16 00:00:00.000;3;0;46;25;33;0;13;15;31;32
Sunday;2020-02-16 00:00:00.000;3;30;39;21;29;0;10;12;27;28
Sunday;2020-02-16 00:00:00.000;4;0;41;22;33;0;8;15;26;32
Sunday;2020-02-16 00:00:00.000;4;30;39;21;30;0;9;13;26;29
Sunday;2020-02-16 00:00:00.000;5;0;40;22;31;0;9;11;29;30
Sunday;2020-02-16 00:00:00.000;5;30;44;24;34;0;10;13;31;33
Sunday;2020-02-16 00:00:00.000;6;0;47;26;36;1;10;15;32;33
Sunday;2020-02-16 00:00:00.000;6;30;47;26;36;1;10;15;32;34
Sunday;2020-02-16 00:00:00.000;7;0;51;28;40;1;10;21;30;38
Sunday;2020-02-16 00:00:00.000;7;30;45;25;37;0;8;18;27;35
Sunday;2020-02-16 00:00:00.000;8;0;50;27;42;1;7;19;31;41
Sunday;2020-02-16 00:00:00.000;8;30;60;33;51;1;8;20;40;49
Sunday;2020-02-16 00:00:00.000;9;0;66;36;57;0;9;22;44;54
Sunday;2020-02-16 00:00:00.000;9;30;72;39;61;0;11;28;44;58
Sunday;2020-02-16 00:00:00.000;10;0;75;41;62;0;13;28;47;60
Sunday;2020-02-16 00:00:00.000;10;30;87;47;71;0;16;37;50;68
Sunday;2020-02-16 00:00:00.000;11;0;79;43;67;0;12;35;44;65
Sunday;2020-02-16 00:00:00.000;11;30;89;48;76;0;13;43;46;72
Sunday;2020-02-16 00:00:00.000;12;0;90;49;77;1;12;44;46;73
Sunday;2020-02-16 00:00:00.000;12;30;97;53;79;1;17;44;53;76
Sunday;2020-02-16 00:00:00.000;13;0;91;49;77;0;14;43;48;73
Sunday;2020-02-16 00:00:00.000;13;30;88;48;75;0;13;46;42;71
Sunday;2020-02-16 00:00:00.000;14;0;74;40;65;1;8;40;34;61
Sunday;2020-02-16 00:00:00.000;14;30;69;38;60;0;9;37;32;56
Sunday;2020-02-16 00:00:00.000;15;0;67;36;56;1;10;30;37;53
Sunday;2020-02-16 00:00:00.000;15;30;73;40;61;1;11;33;40;59
Sunday;2020-02-16 00:00:00.000;16;0;80;43;66;1;13;34;46;63
Sunday;2020-02-16 00:00:00.000;16;30;69;38;57;1;11;31;38;55
Sunday;2020-02-16 00:00:00.000;17;0;62;34;48;2;12;26;36;47
Sunday;2020-02-16 00:00:00.000;17;30;68;37;54;1;13;31;37;53
Sunday;2020-02-16 00:00:00.000;18;0;71;39;57;1;13;34;37;55
Sunday;2020-02-16 00:00:00.000;18;30;78;42;65;1;12;43;35;63
Sunday;2020-02-16 00:00:00.000;19;0;76;41;65;1;10;41;35;62
Sunday;2020-02-16 00:00:00.000;19;30;81;44;68;1;12;45;36;66
Sunday;2020-02-16 00:00:00.000;20;0;77;42;67;1;9;42;35;65
Sunday;2020-02-16 00:00:00.000;20;30;79;43;67;1;11;43;36;65
Sunday;2020-02-16 00:00:00.000;21;0;77;42;66;1;10;40;37;63
Sunday;2020-02-16 00:00:00.000;21;30;71;39;58;1;12;35;36;55
Sunday;2020-02-16 00:00:00.000;22;0;71;39;58;1;12;34;37;55
Sunday;2020-02-16 00:00:00.000;22;30;68;37;58;2;8;33;35;55
Sunday;2020-02-16 00:00:00.000;23;0;70;38;56;2;12;32;38;54
Sunday;2020-02-16 00:00:00.000;23;30;65;35;50;2;13;29;36;48
Monday;2020-02-17 00:00:00.000;0;0;63;34;45;2;16;23;40;42
Monday;2020-02-17 00:00:00.000;0;30;54;29;37;2;15;20;34;35
Monday;2020-02-17 00:00:00.000;1;0;57;31;39;1;17;21;36;37
Monday;2020-02-17 00:00:00.000;1;30;52;28;35;2;15;20;32;33
Monday;2020-02-17 00:00:00.000;2;0;48;26;36;1;11;20;28;34
Monday;2020-02-17 00:00:00.000;2;30;45;25;33;0;12;18;27;31
Monday;2020-02-17 00:00:00.000;3;0;43;24;32;0;11;18;25;30
Monday;2020-02-17 00:00:00.000;3;30;49;27;35;1;13;19;30;33
Monday;2020-02-17 00:00:00.000;4;0;49;27;36;0;13;20;29;34
Monday;2020-02-17 00:00:00.000;4;30;50;27;37;0;13;20;30;35
Monday;2020-02-17 00:00:00.000;5;0;54;29;38;2;14;20;34;37
Monday;2020-02-17 00:00:00.000;5;30;67;36;47;6;14;29;38;45
Monday;2020-02-17 00:00:00.000;6;0;89;48;69;2;18;45;44;66
Monday;2020-02-17 00:00:00.000;6;30;113;61;95;2;16;59;54;92
Monday;2020-02-17 00:00:00.000;7;0;144;78;127;2;15;79;65;124
Monday;2020-02-17 00:00:00.000;7;30;161;87;145;1;15;85;76;140
Monday;2020-02-17 00:00:00.000;8;0;184;99;169;2;13;105;79;164
Monday;2020-02-17 00:00:00.000;8;30;191;103;179;1;11;105;86;174
Monday;2020-02-17 00:00:00.000;9;0;211;114;192;1;18;103;108;190
Monday;2020-02-17 00:00:00.000;9;30;230;124;209;1;20;101;129;204
Monday;2020-02-17 00:00:00.000;10;0;224;121;206;1;17;103;121;199
Monday;2020-02-17 00:00:00.000;10;30;196;106;176;1;19;88;108;170
Monday;2020-02-17 00:00:00.000;11;0;226;122;204;3;19;98;128;194
Monday;2020-02-17 00:00:00.000;11;30;229;123;203;2;24;105;124;197
Monday;2020-02-17 00:00:00.000;12;0;226;122;200;3;23;105;121;197
Monday;2020-02-17 00:00:00.000;12;30;233;125;213;2;18;107;126;207
Monday;2020-02-17 00:00:00.000;13;0;222;120;202;2;18;105;117;196
Monday;2020-02-17 00:00:00.000;13;30;230;124;209;3;18;109;121;202
Monday;2020-02-17 00:00:00.000;14;0;222;120;199;4;19;107;115;196
Monday;2020-02-17 00:00:00.000;14;30;219;118;199;3;17;113;106;195
Monday;2020-02-17 00:00:00.000;15;0;185;100;167;4;14;93;92;162
Monday;2020-02-17 00:00:00.000;15;30;191;103;168;2;21;89;102;164
Monday;2020-02-17 00:00:00.000;16;0;177;95;161;4;12;85;92;158
Monday;2020-02-17 00:00:00.000;16;30;153;83;134;4;15;70;83;126
Monday;2020-02-17 00:00:00.000;17;0;150;81;132;4;14;62;88;126
Monday;2020-02-17 00:00:00.000;17;30;137;74;121;3;13;59;78;118
Monday;2020-02-17 00:00:00.000;18;0;143;77;127;2;14;60;83;121
Monday;2020-02-17 00:00:00.000;18;30;163;88;147;1;15;74;89;142
Monday;2020-02-17 00:00:00.000;19;0;144;78;128;1;15;62;82;125
Monday;2020-02-17 00:00:00.000;19;30;134;72;119;1;14;57;77;116
Monday;2020-02-17 00:00:00.000;20;0;140;76;123;1;16;58;82;120
Monday;2020-02-17 00:00:00.000;20;30;119;64;109;1;9;51;68;106
Monday;2020-02-17 00:00:00.000;21;0;138;75;122;2;14;56;82;119
Monday;2020-02-17 00:00:00.000;21;30;121;65;107;1;13;45;76;105
Monday;2020-02-17 00:00:00.000;22;0;111;60;94;1;16;42;69;92
Monday;2020-02-17 00:00:00.000;22;30;94;51;79;1;14;33;61;76
Monday;2020-02-17 00:00:00.000;23;0;87;47;71;1;15;33;54;68
Monday;2020-02-17 00:00:00.000;23;30;86;47;71;1;14;32;54;67
Tuesday;2020-02-18 00:00:00.000;0;0;79;43;64;1;14;31;48;61
Tuesday;2020-02-18 00:00:00.000;0;30;69;38;54;1;14;22;47;51
Tuesday;2020-02-18 00:00:00.000;1;0;62;34;48;1;13;19;43;45
Tuesday;2020-02-18 00:00:00.000;1;30;56;31;43;1;12;16;40;41
Tuesday;2020-02-18 00:00:00.000;2;0;51;28;38;1;12;15;36;36
Tuesday;2020-02-18 00:00:00.000;2;30;53;29;39;1;13;14;39;37
Tuesday;2020-02-18 00:00:00.000;3;0;50;27;38;2;10;14;36;36
Tuesday;2020-02-18 00:00:00.000;3;30;51;28;40;1;10;15;36;38
Tuesday;2020-02-18 00:00:00.000;4;0;51;28;40;1;10;16;35;37
Tuesday;2020-02-18 00:00:00.000;4;30;49;27;38;1;10;16;33;37
Tuesday;2020-02-18 00:00:00.000;5;0;55;30;41;4;10;18;37;40
Tuesday;2020-02-18 00:00:00.000;5;30;60;33;48;2;10;22;38;47
Tuesday;2020-02-18 00:00:00.000;6;0;92;50;80;2;10;47;45;78
Tuesday;2020-02-18 00:00:00.000;6;30;125;68;112;2;11;68;57;110
Tuesday;2020-02-18 00:00:00.000;7;0;133;72;120;3;10;73;60;117
Tuesday;2020-02-18 00:00:00.000;7;30;163;88;146;3;14;85;78;142
Tuesday;2020-02-18 00:00:00.000;8;0;168;91;150;2;16;86;82;146
Tuesday;2020-02-18 00:00:00.000;8;30;167;90;145;3;19;87;80;142
Tuesday;2020-02-18 00:00:00.000;9;0;179;96;161;2;16;92;87;157
Tuesday;2020-02-18 00:00:00.000;9;30;224;121;205;5;14;120;104;199
Tuesday;2020-02-18 00:00:00.000;10;0;222;120;204;4;14;118;104;198
Tuesday;2020-02-18 00:00:00.000;10;30;230;124;210;5;15;115;115;203
Tuesday;2020-02-18 00:00:00.000;11;0;240;129;220;4;16;121;119;211
Tuesday;2020-02-18 00:00:00.000;11;30;237;128;213;2;22;126;111;204
Tuesday;2020-02-18 00:00:00.000;12;0;240;129;215;2;23;119;121;209
Tuesday;2020-02-18 00:00:00.000;12;30;209;113;185;2;22;103;106;178
Tuesday;2020-02-18 00:00:00.000;13;0;227;122;201;3;23;116;111;196
Tuesday;2020-02-18 00:00:00.000;13;30;228;123;205;4;19;121;107;200
Tuesday;2020-02-18 00:00:00.000;14;0;219;118;199;1;19;112;107;194
Tuesday;2020-02-18 00:00:00.000;14;30;237;128;217;2;18;120;117;212
Tuesday;2020-02-18 00:00:00.000;15;0;215;116;197;1;17;103;112;194
Tuesday;2020-02-18 00:00:00.000;15;30;218;117;199;2;17;101;117;194
Tuesday;2020-02-18 00:00:00.000;16;0;210;113;191;1;18;103;107;185
Tuesday;2020-02-18 00:00:00.000;16;30;189;102;173;1;15;91;98;168
Tuesday;2020-02-18 00:00:00.000;17;0;195;105;173;1;21;91;104;170
Tuesday;2020-02-18 00:00:00.000;17;30;166;90;147;1;18;80;86;146
Tuesday;2020-02-18 00:00:00.000;18;0;168;91;149;1;18;72;96;146
Tuesday;2020-02-18 00:00:00.000;18;30;160;86;140;2;18;66;94;138
Tuesday;2020-02-18 00:00:00.000;19;0;133;72;113;1;19;53;80;111
Tuesday;2020-02-18 00:00:00.000;19;30;110;59;92;1;17;46;64;91
Tuesday;2020-02-18 00:00:00.000;20;0;121;65;103;1;17;49;72;102
Tuesday;2020-02-18 00:00:00.000;20;30;114;62;101;1;12;49;65;99
Tuesday;2020-02-18 00:00:00.000;21;0;111;60;94;1;16;45;66;93
Tuesday;2020-02-18 00:00:00.000;21;30;104;56;86;1;17;42;62;84
Tuesday;2020-02-18 00:00:00.000;22;0;92;50;74;1;17;35;57;72
Tuesday;2020-02-18 00:00:00.000;22;30;90;49;71;1;18;34;56;69
Tuesday;2020-02-18 00:00:00.000;23;0;86;47;68;1;17;34;52;66
Tuesday;2020-02-18 00:00:00.000;23;30;76;41;60;1;15;28;48;57
Wednesday;2020-02-19 00:00:00.000;0;0;71;39;53;1;17;24;47;50
Wednesday;2020-02-19 00:00:00.000;0;30;68;37;50;1;17;24;44;48
Wednesday;2020-02-19 00:00:00.000;1;0;63;34;46;1;16;22;41;45
Wednesday;2020-02-19 00:00:00.000;1;30;58;32;42;1;15;20;38;41
Wednesday;2020-02-19 00:00:00.000;2;0;55;30;40;1;14;21;34;38
Wednesday;2020-02-19 00:00:00.000;2;30;52;28;38;1;13;20;32;36
Wednesday;2020-02-19 00:00:00.000;3;0;51;28;35;2;14;20;31;33
Wednesday;2020-02-19 00:00:00.000;3;30;53;29;36;1;16;18;35;34
Wednesday;2020-02-19 00:00:00.000;4;0;54;29;36;1;17;18;36;34
Wednesday;2020-02-19 00:00:00.000;4;30;57;31;38;1;18;19;38;36
Wednesday;2020-02-19 00:00:00.000;5;0;61;33;40;3;18;21;40;37
Wednesday;2020-02-19 00:00:00.000;5;30;69;38;46;3;20;28;41;43
Wednesday;2020-02-19 00:00:00.000;6;0;92;50;75;1;16;48;44;71
Wednesday;2020-02-19 00:00:00.000;6;30;115;62;95;3;17;58;57;92
Wednesday;2020-02-19 00:00:00.000;7;0;145;78;124;3;18;72;73;120
Wednesday;2020-02-19 00:00:00.000;7;30;181;98;156;2;23;90;91;153
Wednesday;2020-02-19 00:00:00.000;8;0;208;112;180;3;25;97;111;177
Wednesday;2020-02-19 00:00:00.000;8;30;231;124;203;3;25;112;119;199
Wednesday;2020-02-19 00:00:00.000;9;0;212;114;187;2;23;103;109;185
Wednesday;2020-02-19 00:00:00.000;9;30;234;126;201;6;27;110;124;194
Wednesday;2020-02-19 00:00:00.000;10;0;245;132;215;5;25;114;131;204
Wednesday;2020-02-19 00:00:00.000;10;30;229;123;199;4;26;110;119;192
Wednesday;2020-02-19 00:00:00.000;11;0;251;135;218;6;27;119;132;212
Wednesday;2020-02-19 00:00:00.000;11;30;234;126;207;6;21;110;124;198
Wednesday;2020-02-19 00:00:00.000;12;0;218;117;191;6;21;112;106;185
Wednesday;2020-02-19 00:00:00.000;12;30;224;121;201;6;17;120;104;193
Wednesday;2020-02-19 00:00:00.000;13;0;236;127;209;8;19;120;116;201
Wednesday;2020-02-19 00:00:00.000;13;30;217;117;189;7;21;112;105;181
Wednesday;2020-02-19 00:00:00.000;14;0;222;120;194;8;20;106;116;187
Wednesday;2020-02-19 00:00:00.000;14;30;222;120;197;6;19;113;109;189
Wednesday;2020-02-19 00:00:00.000;15;0;228;123;201;5;22;107;121;194
Wednesday;2020-02-19 00:00:00.000;15;30;216;116;195;3;18;107;109;186
Wednesday;2020-02-19 00:00:00.000;16;0;220;118;200;3;17;111;109;193
Wednesday;2020-02-19 00:00:00.000;16;30;195;105;171;5;19;94;101;165
Wednesday;2020-02-19 00:00:00.000;17;0;175;94;160;2;13;90;85;156
Wednesday;2020-02-19 00:00:00.000;17;30;158;85;142;3;13;72;86;137
Wednesday;2020-02-19 00:00:00.000;18;0;148;80;135;2;11;68;80;132
Wednesday;2020-02-19 00:00:00.000;18;30;146;79;125;3;18;66;80;123
Wednesday;2020-02-19 00:00:00.000;19;0;143;77;122;2;19;62;81;120
Wednesday;2020-02-19 00:00:00.000;19;30;145;78;123;1;21;67;78;121
Wednesday;2020-02-19 00:00:00.000;20;0;133;72;115;1;17;62;71;113
Wednesday;2020-02-19 00:00:00.000;20;30;143;77;120;1;22;64;79;118
Wednesday;2020-02-19 00:00:00.000;21;0;124;67;98;2;24;55;69;95
Wednesday;2020-02-19 00:00:00.000;21;30;127;69;103;2;22;54;73;102
Wednesday;2020-02-19 00:00:00.000;22;0;109;59;88;1;20;48;61;87
Wednesday;2020-02-19 00:00:00.000;22;30;107;58;81;1;25;44;63;79
Wednesday;2020-02-19 00:00:00.000;23;0;92;50;71;2;19;41;51;69
Wednesday;2020-02-19 00:00:00.000;23;30;83;45;63;2;18;37;46;61
Thursday;2020-02-20 00:00:00.000;0;0;79;43;58;2;19;34;45;57
Thursday;2020-02-20 00:00:00.000;0;30;75;41;52;2;21;29;46;50
Thursday;2020-02-20 00:00:00.000;1;0;68;37;47;1;20;28;40;46
Thursday;2020-02-20 00:00:00.000;1;30;67;36;47;1;19;28;39;45
Thursday;2020-02-20 00:00:00.000;2;0;61;33;43;1;17;24;37;40
Thursday;2020-02-20 00:00:00.000;2;30;64;35;44;1;19;22;42;42
Thursday;2020-02-20 00:00:00.000;3;0;59;32;39;2;18;21;38;36
Thursday;2020-02-20 00:00:00.000;3;30;55;30;39;1;15;20;35;36
Thursday;2020-02-20 00:00:00.000;4;0;52;28;35;1;16;20;32;31
Thursday;2020-02-20 00:00:00.000;4;30;58;32;37;1;20;20;38;34
Thursday;2020-02-20 00:00:00.000;5;0;63;34;41;4;18;20;43;39
Thursday;2020-02-20 00:00:00.000;5;30;73;40;52;4;17;27;46;50
Thursday;2020-02-20 00:00:00.000;6;0;99;54;78;1;20;47;52;75
Thursday;2020-02-20 00:00:00.000;6;30;127;69;102;2;23;66;61;99
Thursday;2020-02-20 00:00:00.000;7;0;151;81;125;2;24;75;76;121
Thursday;2020-02-20 00:00:00.000;7;30;177;95;150;3;24;90;87;146
Thursday;2020-02-20 00:00:00.000;8;0;203;109;179;2;22;105;98;174
Thursday;2020-02-20 00:00:00.000;8;30;219;118;198;2;19;111;108;190
Thursday;2020-02-20 00:00:00.000;9;0;253;136;235;2;16;131;122;228
Thursday;2020-02-20 00:00:00.000;9;30;230;124;209;3;18;118;112;204
Thursday;2020-02-20 00:00:00.000;10;0;243;131;214;6;23;124;119;203
Thursday;2020-02-20 00:00:00.000;10;30;247;133;219;9;19;134;113;211
Thursday;2020-02-20 00:00:00.000;11;0;257;138;228;8;21;136;121;223
Thursday;2020-02-20 00:00:00.000;11;30;269;145;241;6;22;139;130;231
Thursday;2020-02-20 00:00:00.000;12;0;242;130;217;3;22;130;112;206
Thursday;2020-02-20 00:00:00.000;12;30;217;117;188;6;23;112;105;180
Thursday;2020-02-20 00:00:00.000;13;0;203;109;179;5;19;102;101;171
Thursday;2020-02-20 00:00:00.000;13;30;213;115;193;3;17;109;104;186
Thursday;2020-02-20 00:00:00.000;14;0;218;117;195;3;20;112;106;191
Thursday;2020-02-20 00:00:00.000;14;30;213;115;191;3;19;110;103;186
Thursday;2020-02-20 00:00:00.000;15;0;205;110;176;3;26;96;109;175
Thursday;2020-02-20 00:00:00.000;15;30;188;101;160;3;25;87;101;155
Thursday;2020-02-20 00:00:00.000;16;0;161;87;135;3;23;66;95;130
Thursday;2020-02-20 00:00:00.000;16;30;153;83;129;3;21;61;92;124
Thursday;2020-02-20 00:00:00.000;17;0;177;95;153;3;21;78;99;150
Thursday;2020-02-20 00:00:00.000;17;30;186;100;157;3;26;82;104;151
Thursday;2020-02-20 00:00:00.000;18;0;178;96;152;3;23;76;102;146
Thursday;2020-02-20 00:00:00.000;18;30;162;87;136;3;23;74;88;131
Thursday;2020-02-20 00:00:00.000;19;0;171;92;144;3;24;75;96;139
Thursday;2020-02-20 00:00:00.000;19;30;166;90;144;2;20;74;92;139
Thursday;2020-02-20 00:00:00.000;20;0;156;84;134;2;20;74;82;128
Thursday;2020-02-20 00:00:00.000;20;30;146;79;125;3;18;69;77;120
Thursday;2020-02-20 00:00:00.000;21;0;137;74;109;3;25;61;76;108
Thursday;2020-02-20 00:00:00.000;21;30;136;73;112;2;22;58;78;108
Thursday;2020-02-20 00:00:00.000;22;0;125;68;101;2;22;56;69;98
Thursday;2020-02-20 00:00:00.000;22;30;102;55;77;2;23;37;65;74
Thursday;2020-02-20 00:00:00.000;23;0;90;49;68;2;20;33;57;65
Thursday;2020-02-20 00:00:00.000;23;30;92;50;69;2;21;32;60;66
Friday;2020-02-21 00:00:00.000;0;0;85;46;65;2;18;30;55;61
Friday;2020-02-21 00:00:00.000;0;30;83;45;62;2;19;27;56;59
Friday;2020-02-21 00:00:00.000;1;0;82;44;60;2;20;27;55;58
Friday;2020-02-21 00:00:00.000;1;30;75;41;56;2;17;25;50;54
Friday;2020-02-21 00:00:00.000;2;0;68;37;49;2;17;23;45;47
Friday;2020-02-21 00:00:00.000;2;30;69;38;49;2;18;23;46;47
Friday;2020-02-21 00:00:00.000;3;0;69;38;46;3;20;22;47;44
Friday;2020-02-21 00:00:00.000;3;30;67;36;45;2;20;20;47;43
Friday;2020-02-21 00:00:00.000;4;0;65;35;46;2;17;21;44;44
